Cluster 0: width=105.39968404423392, height=211.54739336492872
Cluster 1: width=287.11320754716974, height=142.68267581475126
Cluster 2: width=86.54055727554172, height=66.61486068111383
Cluster 3: width=206.5492424242426, height=231.24873737373747
Cluster 4: width=452.537340619308, height=326.6083788706735
Cluster 5: width=437.1384335154828, height=185.0582877959928
Cluster 6: width=30.79481522338814, height=41.37506894649623
Cluster 7: width=61.00293685756253, height=122.82427802251604
Cluster 8: width=156.93868613138687, height=326.8145985401453
Cluster 9: width=162.12967382657115, height=120.66189339697705
Cluster 10: width=316.13268156424544, height=282.879888268156
Cluster 11: width=288.08274231678513, height=424.87234042553126
